code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
AL005003,AL,160.0237055,PINUS HALEPENSIS,686.59,402,872,1low,9052.4,37.04826,-2.61026,NA,0,1,NA,0,1,0,NA,0,1,3,NA,NA,NA,0,2,2,1,0,0,0,0,0,0,0,1,3,phale,P. halepensis
AL005004,AL,43.6767558,PINUS HALEPENSIS,966.14,663,1221,1low,10225.78,37.04421,-2.66968,NA,1,0,0,NA,1,0,0,0,NA,1,1,0,NA,0,0,0,0,0,0,0,1,0,1,0,1,0,phale,P. halepensis
AL006001,AL,17.6230252,PINUS HALEPENSIS,1188.28,1054,1281,1low,2552.61,37.53092,-2.16383,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,phale,P. halepensis
AL007001,AL,48.220653600000006,PINUS HALEPENSIS,886.45,745,1008,1low,6082.87,36.99235,-2.94551,NA,3,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,phale,P. halepensis
AL007002,AL,188.325179,PINUS HALEPENSIS,816.13,672,994,1low,15160.73,36.98726,-2.96665,NA,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,1,phale,P. halepensis
AL007003,AL,108.88673179999999,PINUS HALEPENSIS,996.04,866,1111,1low,12852.04,36.92854,-2.94301,NA,3,0,0,1,2,1,0,1,1,NA,0,0,NA,NA,0,0,1,2,2,2,2,2,2,2,2,1,phale,P. halepensis
AL007004,AL,58.4389046,NA,501.67,355,691,0verylow,6613.87,36.90497,-3.03425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,2,2,2,NA,2,2,0,NA,NA
AL008001,AL,65.52775600000001,PINUS HALEPENSIS,1077.39,1029,1132,1low,7565.96,37.36761,-2.63513,NA,1,2,0,5,5,1,2,NA,2,2,0,0,0,1,0,0,1,0,0,0,0,1,4,0,0,0,phale,P. halepensis
AL008002,AL,567.6538966,PINUS HALEPENSIS,1197.66,1022,1415,1low,19211.21,37.33404,-2.63659,NA,1,2,0,0,5,0,0,0,0,2,1,0,0,0,1,2,1,1,0,0,0,0,2,0,0,0,phale,P. halepensis
AL008003,AL,144.79341499999998,PINUS HALEPENSIS,1290.34,1073,1421,2medium,9764.27,37.32412,-2.62336,NA,1,0,0,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,phale,P. halepensis
